code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300799,左江科技,软件服务,北京,318.69,0.17,0.68,6.98,6.34,0.55,3.35,4.92,0.07,9.24,9.6,20191029,2.03,2.99,0.0,0.0,46.89,113.35,13846.0
002987,京北方,软件服务,北京,60.65,0.4,1.61,9.15,8.45,0.64,2.24,1.39,0.15,9.48,3.85,20200507,2.78,1.73,0.0,0.0,20.68,5.91,79574.0
002985,北摩高科,航空,北京,30.62,0.38,1.5,13.8,10.65,0.74,5.29,3.52,0.38799999999999996,13.04,3.64,20200429,4.71,3.14,0.0,0.0,79.99,57.37,74687.0
603801,志邦家居,家居用品,安徽,0.0,1.1,2.23,29.64,15.66,6.88,8.82,3.95,-0.2,8.43,3.08,20170630,8.1,3.63,-21.19,-241.27,37.66,-13.69,11276.0
603039,泛微网络,软件服务,上海,180.02,1.48,1.52,18.2,13.58,1.27,2.52,1.66,0.13,6.08,14.75,20170113,5.1,3.36,-1.98,-2.22,96.27,9.39,4773.0
603236,移远通信,通信设备,上海,158.27,0.22,0.89,32.99,28.85,1.71,11.75,13.18,0.38,19.64,12.26,20190716,4.51,5.06,39.25,-21.88,21.32,3.29,13058.0
300828,锐新科技,铝,天津,80.92,0.28,1.1,5.71,2.48,2.76,0.54,0.49,0.13,6.4,4.92,20200421,2.22,2.01,0.0,0.0,30.08,16.53,56228.0
300598,诚迈科技,软件服务,江苏,0.0,0.8,0.8,8.52,4.67,1.09,1.93,2.41,-0.29600000000000004,7.78,34.17,20170120,3.1,3.87,8.27,-319.23,9.18,-17.65,21254.0
300279,和晶科技,元器件,江苏,433.05,4.37,4.49,23.41,12.62,2.43,9.97,2.22,0.003,2.0,2.91,20111229,-5.16,-1.15,-25.71,-86.73,16.67,0.56,25912.0
002351,漫步者,IT设备,深圳,56.11,2.91,5.93,22.4,16.73,4.25,7.54,1.27,0.083,3.24,5.77,20100205,4.91,0.83,37.93,77.71,34.51,16.08,90913.0
002248,华东数控,机床制造,山东,0.0,2.97,3.07,5.79,3.48,1.16,7.34,2.39,-0.031,0.4,21.54,20080612,-9.9,-3.22,36.06,38.91,10.93,-27.74,21604.0
002104,恒宝股份,元器件,江苏,0.0,5.88,6.97,22.96,16.81,1.74,0.01,0.0,-0.016,2.75,3.04,20070110,10.11,1.45,-25.21,-142.38,20.42,-4.13,69806.0
002982,湘佳股份,农业综合,湖南,18.34,0.26,1.02,15.45,7.15,5.34,1.06,1.04,1.42,15.3,5.11,20200424,6.92,6.79,0.0,0.0,44.14,20.42,53175.0
002878,元隆雅图,文教休闲,北京,56.83,0.4,1.3,12.09,9.76,0.09,2.77,2.12,0.149,5.51,6.13,20170606,2.78,2.13,8.38,-23.3,21.99,5.83,10334.0
000818,航锦科技,化工原料,辽宁,46.66,6.76,6.9,45.14,16.04,12.2,9.15,1.33,0.14,4.03,6.55,19971017,11.09,1.61,-11.59,-11.4,22.94,11.71,53302.0
603019,DR中科曙,IT设备,天津,226.02,9.3,13.02,170.41,104.83,14.58,25.69,1.97,0.045,4.1,9.96,20141106,16.83,1.29,-8.42,15.76,18.41,2.86,115217.0
002980,华盛昌,电器仪表,深圳,18.76,0.33,1.33,6.85,6.52,0.15,1.35,1.01,0.9,7.03,7.17,20200415,2.15,1.61,0.0,0.0,61.96,42.72,66878.0
603825,华扬联众,互联网,北京,118.44,0.95,2.31,59.12,54.16,0.32,6.3,2.73,0.055,7.32,3.58,20170802,7.44,3.22,0.52,3231.04,11.3,0.59,12549.0
300806,斯迪克,塑料,江苏,0.0,0.29,1.17,23.26,12.75,6.48,5.27,4.51,-0.14800000000000002,9.09,3.77,20191125,3.84,3.29,0.0,0.0,14.3,-6.35,16462.0
300596,利安隆,化工原料,天津,25.15,1.28,2.05,33.93,15.42,6.43,9.15,4.46,0.309,9.64,3.22,20170119,7.96,3.88,37.45,19.06,26.96,11.24,11178.0
300634,彩讯股份,软件服务,深圳,130.34,2.01,4.0,17.77,11.24,1.52,4.7,1.17,0.044000000000000004,3.39,6.73,20180323,4.25,1.06,-2.54,-37.12,38.62,11.82,21404.0
300538,同益股份,批发业,深圳,117.61,0.77,1.52,9.6,8.68,0.16,1.14,0.75,0.063,3.06,9.71,20160826,1.85,1.22,80.13,12.02,7.09,1.87,16170.0
603212,赛伍技术,塑料,江苏,46.85,0.4,4.0,22.28,18.63,2.58,4.73,1.18,0.107,4.31,4.65,20200430,4.71,1.18,0.0,0.0,17.86,9.04,42891.0
002702,海欣食品,食品,福建,35.28,3.19,4.81,11.77,7.25,2.89,1.03,0.21,0.045,1.69,3.79,20121011,1.94,0.4,5.29,66.4,25.22,6.59,49535.0
000691,亚太实业,区域地产,甘肃,82.19,2.9,3.23,2.53,2.14,0.02,1.53,0.47,0.015,0.25,20.43,19970228,-4.11,-1.27,0.0,431.07,0.0,0.0,15565.0
600230,沧州大化,农药化肥,河北,0.0,4.12,4.12,51.35,18.46,18.06,5.25,1.27,-0.091,8.51,1.0,20000406,22.97,5.58,-63.67,-332.5,3.11,-18.53,39307.0
300461,田中精机,专用机械,浙江,304.05,0.62,1.22,5.08,4.18,0.58,1.62,1.33,0.013000000000000001,0.25,64.53,20150519,-2.38,-1.96,-85.97,-95.52,43.2,4.19,7126.0
603008,喜临门,家居用品,浙江,0.0,3.87,3.91,62.66,34.68,15.76,13.93,3.56,-0.139,6.65,1.74,20120717,7.07,1.81,-13.58,-331.38,21.61,-7.5,12764.0
300371,汇中股份,电器仪表,河北,70.41,1.09,1.68,8.3,4.64,2.87,1.25,0.75,0.052000000000000005,4.32,3.37,20140123,3.92,2.34,10.72,21.72,50.09,20.64,9026.0
